#time	ekin		epot		etot		chain_length	emp
9.6	6.693331	4.517654	11.210985	14.994472	4.314967
9.7	7.462949	3.748031	11.210980	14.760877	4.811114
9.8	7.952431	3.258545	11.210976	14.498399	5.126667
9.9	7.641577	3.569402	11.210980	14.228657	4.926270
10	7.029165	4.181823	11.210988	13.973595	4.531468
10.1	7.248652	3.962338	11.210990	13.749595	4.672964
10.2	8.538710	2.672270	11.210980	13.563405	5.504622
10.3	9.569119	1.641850	11.210969	13.410804	6.168892
10.4	8.872721	2.338250	11.210971	13.278299	5.719948
10.5	6.742200	4.468785	11.210984	13.147640	4.346471
10.6	5.140195	6.070801	11.210995	13.001993	3.313712
10.7	5.608505	5.602487	11.210992	12.831760	3.615616
10.8	7.613807	3.597171	11.210978	12.637917	4.908368
10.9	9.177242	2.033727	11.210969	12.431604	5.916262
11	8.955551	2.255422	11.210973	12.230081	5.773345
11.1	7.485262	3.725723	11.210984	12.050516	4.825499
11.2	6.392395	4.818595	11.210991	11.903848	4.120964
11.3	6.623416	4.587570	11.210986	11.790764	4.269896
11.4	7.606308	3.604669	11.210977	11.700689	4.903533
11.5	8.014513	3.196459	11.210972	11.613805	5.166690
11.6	7.212891	3.998086	11.210977	11.505798	4.649911
11.7	5.915766	5.295220	11.210986	11.354494	3.813697
11.8	5.423602	5.787388	11.210990	11.146671	3.496416
11.9	6.269612	4.941373	11.210985	10.882798	4.041810
12	7.701194	3.509783	11.210976	10.577936	4.964703
12.1	8.500488	2.710485	11.210973	10.258335	5.479982
12.2	8.189846	3.021131	11.210977	9.954673	5.279721
12.3	7.340584	3.870399	11.210983	9.694020	4.732230
12.4	6.801418	4.409567	11.210985	9.493027	4.384648
12.5	6.841774	4.369209	11.210983	9.354373	4.410663
12.6	7.127350	4.083630	11.210980	9.267179	4.594765
12.7	7.296379	3.914601	11.210980	9.210443	4.703733
12.8	7.300567	3.910414	11.210981	9.157946	4.706432
12.9	7.242121	3.968860	11.210981	9.083617	4.668754
13	7.146625	4.064356	11.210980	8.966695	4.607191
13.1	7.006719	4.204262	11.210981	8.795922	4.516998
13.2	6.913835	4.297148	11.210982	8.571886	4.457119
13.3	7.034980	4.176003	11.210983	8.306822	4.535217
13.4	7.466640	3.744342	11.210982	8.021734	4.813494
13.5	8.011072	3.199906	11.210978	7.741477	5.164471
13.6	8.083207	3.127768	11.210975	7.489135	5.210974
13.7	7.256908	3.954069	11.210977	7.281195	4.678287
13.8	5.953546	5.257438	11.210984	7.124540	3.838053
13.9	5.199019	6.011970	11.210989	7.015557	3.351634
14	5.658064	5.552923	11.210987	6.941296	3.647565
14.1	6.985855	4.225124	11.210979	6.882468	4.503548
14.2	8.085135	3.125838	11.210973	6.817568	5.212217
14.3	8.112032	3.098943	11.210974	6.727189	5.229557
14.4	7.305228	3.905754	11.210981	6.597658	4.709437
14.5	6.697356	4.513630	11.210986	6.423442	4.317562
14.6	7.005548	4.205435	11.210984	6.207941	4.516243
14.7	7.816487	3.394488	11.210975	5.962636	5.039029
14.8	7.938739	3.272232	11.210971	5.704734	5.117841
14.9	6.811527	4.399450	11.210977	5.453769	4.391164
15	5.407716	5.803272	11.210988	5.227777	3.486174
15.1	5.293534	5.917457	11.210991	5.039794	3.412565
15.2	6.838344	4.372638	11.210982	4.895333	4.408453
15.3	8.739717	2.471254	11.210971	4.791309	5.634204
15.4	9.346513	1.864456	11.210969	4.716809	6.025385
15.5	8.209369	3.001607	11.210976	4.655762	5.292307
15.6	6.374442	4.836545	11.210987	4.590676	4.109390
15.7	5.401332	5.809659	11.210991	4.506074	3.482059
15.8	6.002684	5.208303	11.210986	4.390826	3.869730
15.9	7.430783	3.780193	11.210976	4.239528	4.790378
16	8.280211	2.930760	11.210972	4.053277	5.337976
16.1	7.934062	3.276914	11.210977	3.839879	5.114826
16.2	7.067757	4.143227	11.210984	3.613151	4.556348
16.3	6.712814	4.498171	11.210985	3.390939	4.327528
16.4	7.040991	4.169989	11.210980	3.191707	4.539092
16.5	7.297047	3.913929	11.210976	3.030235	4.704163
16.6	6.895373	4.315606	11.210979	2.913665	4.445217
16.7	6.198088	5.012896	11.210984	2.839754	3.995701
16.8	6.006420	5.204566	11.210986	2.798493	3.872139
16.9	6.607378	4.603605	11.210983	2.775980	4.259556
17	7.511484	3.699494	11.210977	2.757791	4.842403
17.1	7.948990	3.261985	11.210975	2.730687	5.124449
17.2	7.582489	3.628488	11.210978	2.683569	4.888178
17.3	6.810248	4.400734	11.210983	2.608784	4.390340
17.4	6.360175	4.850811	11.210986	2.503825	4.100193
17.5	6.631763	4.579222	11.210985	2.372693	4.275277
17.6	7.436337	3.774645	11.210981	2.226040	4.793958
17.7	8.185289	3.025689	11.210978	2.079540	5.276783
17.8	8.290883	2.920094	11.210977	1.950422	5.344856
17.9	7.649370	3.561612	11.210981	1.852829	4.931294
18	6.828693	4.382294	11.210987	1.793703	4.402231
18.1	6.648652	4.562337	11.210989	1.771452	4.286164
18.2	7.421257	3.789727	11.210984	1.778051	4.784237
18.3	8.478150	2.732825	11.210975	1.802558	5.465580
18.4	8.634238	2.576733	11.210971	1.833927	5.566205
18.5	7.415057	3.795920	11.210977	1.863083	4.780240
18.6	5.766248	5.444741	11.210988	1.884977	3.717308
18.7	5.250112	5.960880	11.210992	1.900264	3.384572
18.8	6.414225	4.796759	11.210984	1.915123	4.135037
18.9	8.101019	3.109953	11.210972	1.937841	5.222457
19	8.582563	2.628407	11.210969	1.972878	5.532892
19.1	7.408094	3.802884	11.210978	2.016197	4.775751
19.2	5.883876	5.327113	11.210990	2.055927	3.793139
19.3	5.646947	5.564045	11.210992	2.078234	3.640398
19.4	7.017667	4.193316	11.210983	2.074292	4.524056
19.5	8.657517	2.553454	11.210971	2.044287	5.581213
19.6	8.881766	2.329204	11.210970	1.996956	5.725779
19.7	7.535628	3.675352	11.210981	1.945396	4.857968
19.8	6.159294	5.051696	11.210990	1.901578	3.970692
19.9	6.119381	5.091606	11.210987	1.873147	3.944961
20	7.115734	4.095244	11.210978	1.864726	4.587276
20.1	7.850050	3.360925	11.210974	1.881718	5.060665
20.2	7.725936	3.485043	11.210979	1.931526	4.980653
20.3	7.355712	3.855273	11.210985	2.019112	4.741982
20.4	7.467218	3.743765	11.210983	2.140109	4.813867
20.5	7.869413	3.341565	11.210978	2.278359	5.073148
20.6	7.804970	3.406006	11.210976	2.410732	5.031604
20.7	7.033906	4.177075	11.210981	2.515637	4.534525
20.8	6.191500	5.019486	11.210987	2.580217	3.991454
20.9	6.103114	5.107873	11.210987	2.603457	3.934474
21	6.912872	4.298110	11.210982	2.594769	4.456498
21.1	7.833898	3.377077	11.210975	2.569126	5.050253
21.2	7.867300	3.343675	11.210974	2.540976	5.071786
21.3	6.929952	4.281030	11.210982	2.519563	4.467509
21.4	6.096079	5.114911	11.210990	2.507669	3.929939
